id,twitter_id,handles,degree_range,snapshot_range
277,309360843,"giorgoskyritsis",8955-15563,"1-48"
278,2451561470,"geakriotis",559-988,"1-48"
279,172306013,"tromaktiko",1603-1795,"1-48"
280,2148443673,"laskaridislazar",149-174,"1-48"
281,76280336,"ellopia",1412-1584,"1-48"
282,1690024302,"Epsilontvgr",19890-20093,"1-6"
283,402714886,"KostasVlasis",656-1877,"1-48"
284,2955647698,"GVagionas",213-543,"1-48"
285,3034441257,"sfamellos, SFamellos",1381-8415,"1-48"
286,3049782381,"FotiniVaki",1190-1988,"1-20"
287,965785002,"nasosa8anasiou",2669-3513,"1-48"
288,2370168500,"elen_stamataki",488-884,"1-48"
289,48291940,"andriotakis",4693-5154,"1-48"
290,247318537,"24wro",4079-4442,"1-48"
291,2542946742,"panteliskapsis, PantelisKapsis",715-2497,"1-48"
292,3377051099,"annavayena",72-185,"1-48"
293,1350323126,"CircoGreco",472-732,"1-48"
294,3041226449,"KostasSkrekas",3221-9009,"1-48"
295,221299970,"fmvoice2",836-884,"1-48"
296,3096944951,"meropitzoufi",762-1667,"1-48"
297,567306088,"grpsarianos",8138-17092,"1-48"
298,823154154,"SvouraNews",326-378,"1-48"
299,86978402,"NewsItFeed",62201-105131,"1-48"
300,544153184,"toxwni",15075-15236,"1-24"
301,53439175,"bogdanosk",28316-65809,"1-48"
302,2801820046,"apokalyptikodel",4802-8431,"1-48"
303,3058731473,"xrsimorelis, XrSimorelis",551-747,"1-48"
304,27616356,"pestanea",2885-2962,"1-24"
305,556814427,"lgrigorakos",1409-1601,"1-48"
306,15015626,"stoxos",1926-2953,"1-48"
307,104298598,"primeministergr, PrimeministerGR",471970-718787,"1-48"
308,19662198,"in_gr",105610-166762,"1-48"
309,3308342351,"dkonstantop",2089-2937,"1-48"
310,409865715,"logia_starata",254-294,"1-48"
311,74694195,"gstylios",1647-3283,"1-48"
312,1097502870,"AntonisGregos",2581-3123,"1-36"
313,424164598,"elenakountoura, ElenaKountoura",18477-22568,"1-48"
314,190278613,"gioulekaskostas",9980-13848,"1-48"
315,83656002,"samaras_antonis",43386-65585,"1-48"
316,3992951153,"v_meimarakis",8731-17173,"1-48"
317,53346239,"sigmalivecom, Sigmalivecom",34349-46976,"1-48"
318,60591084,"MVarvitsiotis",23487-35377,"1-48"
319,383966659,"NikNikolopoulos",15381-24697,"1-48"
320,545163385,"tokarfi",4667-6031,"1-48"
321,1616952134,"elenaakrita, ElenaAkrita",531-2050,"1-48"
322,23296450,"ta_nea",136568-188279,"1-48"
323,57415343,"antinewsgr",12645-13845,"1-48"
324,330384423,"ManosNiflis",18313-20602,"1-48"
325,361159739,"annetakavadia",7106-9076,"1-48"
326,350182526,"GiorgosAftias, giorgosaftias",2747-3740,"1-48"
327,2348713561,"MaktvNews",240-302,"1-48"
328,2413893906,"sylvanarapti",1592-1645,"1-48"
329,2443536144,"SpyrosLykoudis, spyroslykoudis",7014-7855,"1-48"
330,381976833,"etyposgr",8606-28557,"1-48"
331,80154515,"typologies",9997-10569,"1-48"
332,2863966079,"Tzavaraskon",293-694,"1-48"
333,484814497,"Yannis_Maniatis",8084-11925,"1-48"
334,231807647,"tovimagr",178566-245961,"1-48"
335,54825777,"parakato",1430-1611,"1-48"
336,14283525,"kmitsotakis",181329-358269,"1-48"
337,1446923143,"ellinikahoaxes",4071-11470,"1-48"
338,726418016,"fouitgr",562-721,"1-48"
339,1565814866,"h_epohi",2270-2679,"1-48"
340,478754813,"AnnaKaramanli, annakaramanli",8208-9146,"1-48"
341,870557052598407168,"neaselidagr",1808-3732,"1-48"
342,14638433,"androulakis",42310-44806,"1-48"
343,580861440,"ellistai, ElliStai",37182-38830,"1-48"
344,107045432,"Kefalaio",1106-1106,"1-1"
345,3325625573,"marios_katsis",989-6376,"1-48"
346,551237910,"kyriazidisdim",763-1001,"1-48"
347,3127085801,"telloglou",11567-28381,"1-48"
348,492534405,"DTsiodras",11132-14340,"1-48"
349,2969916503,"pantamaximos",3177-5948,"1-48"
350,1374000792,"dsevastakis",84-91,"1-48"
351,75256329,"amirasgiorgos",4503-8262,"1-48"
352,267790532,"ninemesis, ninakasimati",10022-10573,"2-4, 19-48"
353,529702286,"AnnaEfthymiou_",1443-2162,"19-48"
354,552151981,"TagarasNikos",55-166,"19-48"
355,370616013,"gragkousis",21342-27618,"19-48"
356,110670092,"efsimopoulos",1997-2346,"19-48"
357,124690469,"yanisvaroufakis",979853-1062368,"19-48"
358,2960720745,"pappas_ioannis",186-205,"19-48"
359,197613052,"yiannismelas",659-1131,"19-48"
360,540694975,"The_Leontaridis",1640-1886,"19-48"
361,567066109,"GIOTAPOULOU",16-27,"19-48"
362,404869413,"maxsenetakis",1020-1190,"19-48"
363,1466870311,"AsiminaSkondra",394-641,"19-48"
364,849094652,"ChStefanadis",83-123,"19-48"
365,17132736,"kyranakis",20065-37476,"19-48"
366,3105268391,"FKarasarlidou",1143-1459,"19-48"
367,196941064,"periklismantas",207-587,"19-48"
368,907708101872283649,"giogiakasv",119-158,"19-48"
369,534632102,"KastanidisHaris",2235-5569,"19-48"
370,2973131037,"blouchosdrama",10-23,"19-48"
371,1168885946361757705,"GeorgeLogiadis",8-258,"19-48"
372,474756525,"tasos_chatziv",701-2506,"19-48"
373,532337898,"msoukouli",992-1406,"19-48"
374,907201823613837312,"IgoumenidisN",76-604,"19-48"
375,961619128237940736,"lakis_vas",45-74,"19-48"
376,557882540,"pasxalidisjohn",647-701,"19-48"
377,2783917512,"ZettaMakri",1952-2836,"19-48"
378,1614767336,"e_stylianidis",9832-12191,"19-48"
379,2959151806,"maravegiaskost",27-1167,"19-48"
380,1904674254,"SpiliosL",731-1862,"19-48"
381,3313931657,"LazarosTsavdar1",86-136,"19-48"
382,787026822,"L_Tsavdaridis",160-173,"19-37"
383,1148229718627540992,"SofAsimak",65-570,"19-48"
384,927913279,"DimVartzopoulos",656-1123,"19-48"
385,1010930311289556992,"patsis_andreas",204-556,"19-48"
386,559643881,"dionstamenitis",1746-1812,"19-48"
387,1137980607496183809,"than_zebilis",23-52,"19-48"
388,1156878352759894016,"p1l1sulLrVED8tt",5-91,"19-48"
389,1140269473397694471,"MonogiouKateri1",113-265,"19-48"
390,112445908,"thanosplevris",32374-53668,"19-48"
391,961900635913424896,"vag_apos",802-1357,"19-48"
392,189807100,"mvlazaridis",7691-9467,"19-48"
393,24637896,"alterglobal",2826-4256,"19-48"
394,395206721,"STEFANOS_GIKAS",1884-2368,"19-48"
395,174226430,"ViliardosV",3165-5617,"19-48"
396,404205439,"thanos_moraitis",4284-4945,"19-48"
397,2445790562,"giorgoskotsiras",1275-2419,"19-48"
398,1051860153191096321,"E_Achtsioglou",5582-16785,"19-48"
399,171176245,"Ral_Christidou",34097-36255,"19-48"
400,357631685,"davgeri",1410-2270,"19-48"
401,886723075,"m_giannakou",5806-6640,"19-48"
402,422814594,"AngelosSyrigos",3651-21310,"19-48"
403,2608056638,"DimKairidis",2390-9231,"19-48"
404,342436250,"ChrisDermen",284-866,"19-48"
405,142677826,"avgerinopoulou",1377-1506,"19-48"
406,366594800,"ChitasKostas",219-1245,"19-48"
407,480344041,"liakosev",336-400,"19-48"
408,1158632932304674822,"keletsis",23-83,"19-37"
409,310780249,"kallianos",4138-4949,"19-48"
410,1159407842350288896,"dimitrisbiagkis",54-365,"19-48"
411,973164892877459456,"alexischaritsis",4828-12067,"19-48"
412,204069781,"CZachariadis",13571-27325,"19-48"
413,487731215,"iriniagath",2269-2664,"19-48"
414,888762865,"HionidisSavvas",1143-1293,"19-48"
415,1735479950,"RoussopoulosTh",255-674,"19-48"
416,1057566665595076608,"teligioridou",31-694,"19-48"
417,1142755245761662976,"s_tsiliggiris",20-27,"19-25"
418,533082734,"SofiaSakorafa",15247-18207,"19-48"
419,2952906353,"dckalamatianos",66-159,"19-48"
420,102001522,"ILHANAHMET",3032-3344,"19-47"
421,350800867,"fbakadima",161-2836,"19-48"
422,712255673178976256,"BSkoufa",301-545,"19-48"
